key,value,weight
0,1945,4990
1,321,1142
2,2945,7390
3,4136,10372
4,1107,3114
5,1022,2744
6,1101,3102
7,2890,7280
8,47019,112738
9,1530,3960
10,3432,8564
11,2165,5630
12,1703,4506
13,1106,3112
14,370,1240
15,657,2014
16,962,2624
17,1060,3020
18,805,2310
19,689,2078
20,1513,3926
21,3878,9656
22,13504,32708
23,1865,4830
24,667,2034
25,1833,4766
26,16553,40006
27,1261,3422
28,2593,6686
29,1170,3240
30,794,2288
31,671,2042
32,7421,18142
33,6009,14718
34,1767,4634
35,2622,6744
36,831,2362
37,701,2102
38,5222,12944
39,3086,7872
40,900,2500
41,3121,7942
42,1029,2958
43,52555,126010
44,389,1278
